,PCON17NM,OBJECTID,PCON17CD,BNG_E,BNG_N,LONG,LAT,Shape__Are,Shape__Len,geometry,uri,election > label,electorate,majority,result of election,turnout,party_colour,party_colour_rgb
0,Aldershot,1,E14000530,484884,155126,-0.7841,51.289,52588345.7903214,37241.7032499742,"POLYGON ((485406.9024 159918.603, 486138.297 159150.7028, 486350.5002 158322.199999999, 487630.4964 157435.1039, 488587.0967 154344.298699999, 488453.8977 151979.9954, 488767.2018 151538.8017, 488308.2982 150713.597899999, 488351.7002 149481.3007, 487684.5016 148666.304, 485989.3005 149300.002599999, 485530.298 149909.098200001, 484552.5986 149946.997400001, 483745.1021 149555.1995, 483524.1015 150221.898700001, 483578.8982 153251.2016, 483275.9004 153580.0974, 484465.201 154367.602, 483924.1024 154624.2985, 484062.2978 154874.596899999, 483602.2976 155528.399700001, 483955.6974 156604.1018, 481417.6038 156186.801200001, 481000.2965 158773.6008, 482985.0971 159060.798599999, 483364.6008 160961.804400001, 484584.5977 160708.796800001, 485406.9024 159918.603))",http://data.parliament.uk/resources/1223065,2019 General Election,72617.0,16698.0,Con Hold,47932.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
1,Aldridge-Brownhills,2,E14000531,404723,302568,-1.9316,52.6209,43987127.8075485,35258.9247692142,"POLYGON ((406519.0977 305054.2984, 405782.5005 304172.2009, 407809.3014 301964.2029, 407393.7008 300154.900800001, 408730.9013 298576.7026, 408330.2985 296873.100199999, 407442.7012 296072.8993, 407331.599 295946.795399999, 406346.8996 296790.403899999, 405991.6035 298121.7028, 404206.8033 298270.9001, 404082.8965 299171.102399999, 403278.797 300226.600299999, 402111.9971 300107.804300001, 402251.0996 301861.102399999, 401609.1968 302816.9988, 401133.6959 303001.8959, 400715.4982 304323.0977, 401006.7962 304738.898700001, 402738.1023 305007.1019, 402759.5972 306202.999600001, 403135.8029 306266.8013, 402805.8025 307145.399800001, 403169.3025 307212.8005, 403789.9001 306507.702299999, 404130.9982 306510.8015, 404589.8029 307099.203, 405259.104 306423.296499999, 405992.0982 306725.100099999, 406275.5963 306254.504799999, 405643.2991 305797.095699999, 406519.0977 305054.2984))",http://data.parliament.uk/resources/1223066,2019 General Election,60138.0,19836.0,Con Hold,39342.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
2,Altrincham and Sale West,3,E14000532,374132,389051,-2.3904,53.3977,50874711.8844299,40811.9793894027,"POLYGON ((379104.0964 393143.903000001, 377127.9037 390173.5033, 378831.6961 390580.696699999, 380146.2969 388404.299699999, 380151.3016 387538.497500001, 381092.7969 386635.096100001, 380225.4 384923.0962, 379198.6013 384549.203199999, 378571.6963 384645.695599999, 378508.399 384992.296399999, 378198.698 384927.305, 378143.8024 385278.6044, 377481.6003 385664.403999999, 376873.1973 385502.700300001, 376349.9987 385796.995999999, 375805.5031 385197.397600001, 375091.0026 385450.895099999, 374754.9009 385958.299799999, 373439.3025 386557.8982, 372786.3019 387523.401799999, 371724.8987 387929.695499999, 370276.901 388754.999299999, 369606.3962 388560.295, 369115.4028 388764.6965, 368771.897 388490.8049, 368282.0002 388925.8004, 369114.9988 389424.197699999, 369941.3023 390805.702299999, 370441.2993 390917.000399999, 371290.9034 390393.8002, 373065.3972 390488.5031, 373184.7032 390995.398, 375596.903 390916.8005, 376030.0985 391279.796599999, 376202.4038 392062.702500001, 376811.7963 392227.7952, 377279.8024 393552.096100001, 378352.6003 392969.6029, 379104.0964 393143.903000001))",http://data.parliament.uk/resources/1223067,2019 General Election,73107.0,6139.0,Con Hold,54763.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
3,Amber Valley,4,E14000533,440478,349675,-1.3977,53.0428,124690227.427017,54421.1200332043,"POLYGON ((444868.4022 353958.0998, 444113.3031 352837.2007, 444018.6003 351980.3959, 444600.2976 350998.9968, 444818.297 348717.0001, 445811.596 346753.302200001, 445776.7029 346093.0012, 446535.298 345394.6011, 446571.8978 345370.697899999, 445458.3034 344253.297800001, 445606.5991 343769.2963, 444976.6022 343501.503, 445205.7984 342907.7029, 444897.2022 342516.504899999, 442589.3025 342404.596999999, 442334.596 341930.9026, 441324.9965 342595.002499999, 441359.9968 342947.2016, 439760.9991 342346.103700001, 439335.2984 342738.001499999, 437384.4015 342531.2007, 436933.0998 342908.2028, 436122.1981 342971.004799999, 436073.1977 343967.999399999, 435571.799 344416.0012, 436002.7024 344785.795299999, 435636.8031 344784.595699999, 435592.0984 345399.299699999, 436080.7996 345289.201199999, 436236.4994 346625.0989, 437069.1021 347561.8007, 437441.3007 348954.801999999, 436945.0964 348935.897399999, 436755.3033 349375.9014, 434843.1005 350146.400900001, 434383.4961 351940.397399999, 435144.3998 352464.997199999, 434935.0989 353075.602399999, 435605.9006 353304.696799999, 435886.4965 354061.100299999, 436397.2039 354163.501, 435482.0021 355907.6018, 435885.3999 357199.6019, 436246.3027 356925.3005, 436543.9989 357072.6983, 437040.5989 356414.696599999, 438086.9961 356670.9033, 438679.0987 356393.4027, 438944.2022 356750.7004, 439725.702 356859.3993, 440742.4005 356576.500299999, 441800.7036 357009.996200001, 442909.3015 354987.595100001, 444868.4022 353958.0998))",http://data.parliament.uk/resources/1223069,2019 General Election,69976.0,16886.0,Con Hold,45567.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
4,Arundel and South Downs,5,E14000534,510689,115542,-0.4263,50.9287,646784417.143414,215949.504909194,"POLYGON ((506641.4966 128757.2029, 506389.7996 127874.895400001, 506940.1987 127706.3037, 507152.5008 127163.599099999, 506993.099 125717.902899999, 506253.7973 125242.399, 506293.3984 124504.5002, 505542.1991 124603.401900001, 504976.0025 124026.3971, 504597.1997 124234.0976, 504150.3009 123029.102499999, 505265.0001 122874.796700001, 505694.4029 123278.801100001, 506182.997 122926.301999999, 507986.7031 122720.7008, 508116.8019 123030.902000001, 508993.9032 122704.0956, 509405.6039 122068.297599999, 510193.9966 123765.1019, 510664.097 123752.195599999, 511037.2025 124174.3047, 511392.5976 123810.298900001, 511044.9034 122405.101199999, 511878.1988 122186.3038, 511525.5987 120543.704, 512096.0992 120653.002699999, 512130.1019 119543.500299999, 513067.3015 119531.7037, 512823.3961 118194.5964, 513357.2968 117819.7037, 513267.7966 117472.403100001, 513713.4999 116947.203500001, 514828.0013 117808.197000001, 514350.8019 118287.5998, 514614.0997 119017.800799999, 513949.8033 119481.2981, 514150.0017 120033.300100001, 514925.697 120460.9977, 515168.4976 121001.403000001, 516465.2973 120712.9955, 516887.7989 124396.0013, 517361.8982 124392.202400001, 517423.3981 123862.1041, 518201.3031 124037.104, 518403.604 123493.499600001, 519009.6984 123670.4989, 519036.8988 124055.998600001, 519717.6028 124032.0954, 520534.9028 124970.2969, 521751.1977 124986.102399999, 521913.7985 124390.6028, 522554.0028 124294.4004, 523169.3977 125326.4049, 524123.9037 124983.703, 523874.3009 122967.4002, 523477.1034 122729.598300001, 523499.9999 122288.3046, 524255.5031 122576.0022, 524360.7018 122336.7007, 523591.8993 120627.200099999, 523654.702 118520.203199999, 523829.2994 118199.8049, 524796.1977 118059.2951, 524835.9966 117446.2006, 524328.9996 116640.701199999, 524750.8993 114077.305, 525715.2994 114255.7039, 526679.6004999999 115333.4954, 527081.4978 115139.400900001, 526924.1985000001 117154.1042, 526575.3994 117053.603, 526410.9022 118149.3993, 525022.6978 117442.501700001, 525288.5021 118271.0045, 524876.6035 118398.498, 524857.2029 118949.600299999, 525558.2969 119037.6951, 526779.3987 119853.4016, 527332.6011 119796.198000001, 527293.4041 120323.9969, 527814.797 120461.497500001, 527798.1008 121071.6029, 528240.9018 121059.896199999, 528533.2964 121921.2996, 529268.2034 121766.204, 529150.398 120938.501, 529574.796 120835.600400001, 529362.799 119490.995300001, 529719.0021 118412.2041, 530685.1996000001 118038.5011, 530655.5009 117418.5985, 532179.3036 117489.3983, 532399.3973 117425.196599999, 531652.6009 114943.1971, 531277.7969 111339.898499999, 531133.698 111107.595000001, 530601.504 111361.3024, 530049.1014 111176.5953, 530033.1967 110555.1032, 528964.8017 110627.102600001, 529091.8993 111919.102700001, 528854.4003 111646.2009, 528256.6993 111691.4979, 527938.3987 111444.6985, 527957.4036 110501.1986, 527461.1004 109885.504899999, 527618.6965 109238.9999, 526822.7018 109391.996099999, 526550.4004 110023.5953, 526371.4991 109377.3003, 525773.7981 109404.8025, 525742.4999000001 109928.602499999, 524849.9967 110241.0031, 523604.0031 108612.2993, 523356.7007 108642.9005, 523303.9983 109366.103499999, 522856.5965 109455.9978, 522601.9973 109411.7005, 522790.9988 108429.1017, 520372.203 108417.695, 519752.2347 108623.078600001, 519783.7994 108642.202099999, 519833.1992 108713.898399999, 519853.499 108988.7994, 519683.2999 109130.998199999, 519637.1995 109320.6983, 519468.6982 109443.5967, 519522.7218 109637.534700001, 519400.7858 110016.682499999, 519380.942 110028.5887, 519470.7498 109650.1712, 519449.0988 109427.898800001, 519611.1018 109299.898800001, 519628.8006 109150.8003, 519821.6373 108984.153000001, 519821.3003 108797.600199999, 519779.3982 108671.799699999, 519701.5501 108639.8694, 519190.1003 108809.3029, 516856.4017 108324.501700001, 515027.0041 109631.4976, 514682.4017 109160.5024, 515023.302 108059.897399999, 514014.2962 108328.3006, 512333.7961 107334.595000001, 512069.2038 107066.7017, 511099.0982 107932.7038, 511180.3038 105758.6961, 509513.103 105631.9024, 509544.4012 105227.1983, 508520.9995 105284.7018, 508871.8021 103397.602, 508643.4964 103356.1039, 508700.6017 102783.797700001, 508276.5994 102572.998, 507923.1007 103138.396199999, 506515.0998 102957.398, 506508.2976 103178.104800001, 505666.5016 103109.6044, 504681.7033 103628.595899999, 504699.7023 103964.6997, 503691.9991 104443.102700001, 501197.3982 104123.5042, 500983.3116 104419.3039, 500757.9961 104910.7993, 501026.5837 105118.2884, 501417.9989 106730.8979, 501462.5291 106784.3496, 501437.9228 106808.1621, 501369.6601 106733.5495, 500981.5005 105150.898600001, 500710.8678 104910.7655, 500880.8147 104560.9221, 500851.3035 104601.6973, 498085.9018 104415.3007, 497609.0981 104867.601199999, 497460.0027 104506.204700001, 497087.4001 104621.7016, 497131.6019 103831.697699999, 494907.1999 102007.9998, 494858.4963 101580.702099999, 494097.6998 101821.5032, 493874.3988 102468.797900001, 492610.1011 103220.002800001, 492063.099 106035.4969, 492912.5959 107915.6987, 495069.1988 108356.8024, 494788.001 109735.697699999, 495071.796 110456.9013, 494476.7005 110641.498500001, 494477.3024 112295.605, 495170.9016 112834.8006, 494303.9005 115087.2959, 493939.9965 114855.0024, 493406.3019 115483.702400001, 492536.2996 115505.496200001, 491995.2999 116216.4027, 491000.5992 116363.3006, 491336.2969 117772.397299999, 491021.0964 119067.396600001, 491583.4014 120451.700300001, 491510.0038 121115.100400001, 491929.7022 121337.5967, 492523.899 121031.4044, 492533.3973 121294.799000001, 493087.3994 121334.4976, 493492.7019 120706.5974, 493177.6004 119521.0967, 494139.0982 119178.3048, 494569.6965 119606.702199999, 494271.8025 120920.995999999, 493577.7002 121185.500299999, 493041.5981 122138.997300001, 493356.7986 122374.799799999, 493427.401 123108.399800001, 494147.0959 123444.8035, 493913.299 124146.8026, 494390.0037 125014.5042, 495249.1967 125384.2984, 495815.8963 125200.800899999, 495986.701 125491.297700001, 494988.2983 127162.1995, 496022.3031 127270.8983, 496470.0017 128094.8025, 497053.9994 127937.7974, 497273.3015 128334.104, 497629.3975 128289.9966, 497269.0965 128840.499, 497519.6969 129158.498, 499269.9997 129408.1965, 500218.0993 129106.8028, 500979.2009 129453.103700001, 501163.6017 129044.000800001, 501969.3008 129042.701199999, 502413.0005 128223.9955, 503102.9967 128193.0044, 503238.7022 127584.998400001, 503869.4988 127474.6, 505183.102 128258.695599999, 505136.303 128489.5995, 506409.1013 128933.4025, 506641.4966 128757.2029))",http://data.parliament.uk/resources/1223071,2019 General Election,81726.0,22521.0,Con Hold,61408.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
5,Ashfield,6,E14000535,450035,355939,-1.2542,53.0983,107923082.856049,54666.127929958,"POLYGON ((449576.0023 363293.397600001, 449895.0037 362199.300799999, 450855.8007 362040.2963, 451121.9018 361278.904200001, 450943.0005 360538.1963, 452090.3997 359517.398499999, 455123.7989 357827.802100001, 456051.6981 356554.4966, 454556.2006 356038.404300001, 453926.5995 355564.4, 454145.2008 355348.1019, 453510.8011 354705.4959, 451927.502 354059.8007, 451612.6973 351920.5031, 451832.4035 350863.4956, 449867.4982 349553.7005, 450302.5983 349232.4025, 448520.4036 348591.595899999, 448074.6014 347027.8036, 447684.0989 346979.497400001, 447861.1038 346170.9988, 447212.8029 345879.6022, 446622.0031 346088.602399999, 446535.298 345394.6011, 445776.7029 346093.0012, 445811.596 346753.302200001, 444818.297 348717.0001, 444600.2976 350998.9968, 444018.6003 351980.3959, 444113.3031 352837.2007, 444868.4022 353958.0998, 446786.5992 354779.004799999, 446350.8972 355728.0032, 446923.2034 356320.9035, 446155.2996 357075.297499999, 446179.6968 358282.801899999, 445476.3024 359488.9966, 445927.299 360069.8003, 445194.7995 362359.504899999, 445331.5026 363013.5977, 445789.4003 363353.9003, 446849.5008 363236.503900001, 447159.3997 364019.4998, 447640.6969 364049.9011, 448099.6005 363605.598200001, 448966.5027 363700.4011, 449576.0023 363293.397600001))",http://data.parliament.uk/resources/1223072,2019 General Election,78204.0,5733.0,Con Gain,48980.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
6,Ashford,7,E14000536,595733,138824,0.79516,51.1153,504078110.918274,138093.302364434,"POLYGON ((607507.3032 156358.902000001, 609323.7973 154514.100099999, 608805.4963 153872.8036, 608554.698 152756.903000001, 608939.7010999999 152164.9025, 608896.901 151483.397600001, 609392.2973 151167.098099999, 610020.9997 149767.398800001, 609897.9999000001 148526.604, 609523.7977999999 147888.0967, 608986.3022 147692.502699999, 610050.5005 146602.2048, 609839.6001 145873.803300001, 609224.098 146040.9955, 609435.3035 146669.3956, 609060.6973999999 146970.7993, 608726.0964 146447.099199999, 607847.6016000001 146804.297, 607601.7998 146595.4967, 607824.1032 145854.098999999, 608522.0971 145757.396600001, 608661.9992 145299.297800001, 608494.5008 144825.303400001, 608837.8003999999 144111.4978, 608352.3972 143769.8956, 607973.6026 144395.6964, 607100.5000999999 144484.0011, 607097.4989 145071.6029, 606581.2014 144963.7038, 606258.2012 145283.802200001, 605901.1983 144973.700999999, 605566.5972 143808.104599999, 605808.598 143389.4045, 605394.2012 142911.4013, 606209.4976 142411.104499999, 605924.8039000001 142101.5031, 606460.8977 141340.200999999, 605806.1986999999 139069.1011, 605226.7028 138549.799799999, 605649.6992 138258.203299999, 605596.2959 137833.8047, 604713.7033000001 136855.3048, 602822.6986 136642.8956, 602736.2986 137521.903999999, 602320.698 137603.3007, 600099.7012 137358.900699999, 598970.4987999999 136699.6994, 600582.5979000001 135041.304099999, 600959.1004 133817.6044, 600494.5984 132993.000399999, 600956.7010999999 132917.1021, 601474.3013000001 132154.2005, 601105.9037 131510.3048, 601348.1024 131281.2004, 601076.9965 131002.9001, 600128.5012000001 130975.298, 600399.5988 129793.2963, 599166.6983 129612.098200001, 599205.9036 130458.3959, 598561.5026 130743.204399999, 599003.5037999999 131218.7983, 598513.3019 131593.1011, 595126.2968 124797.1964, 592389.3982000001 125939.999299999, 590339 125618.701300001, 590044.2966999999 125065.6996, 589494.5985 125589.7995, 587913.204 126067.402799999, 586760.6022 127638.6031, 586338.3974 127282.705, 585735.6999 127495.903899999, 585202.4011 126926.297, 584411.0979000001 127563.204700001, 582858.3962 126862.5952, 582874.5977 127741.603599999, 582253.4973 127815.002599999, 582138.7013 128270.5022, 582594.9005 128488.799699999, 581936.7962 128987.397, 581907.7984 130144.3958, 583099.1025 132601.602399999, 584178.3975 132977.504799999, 585353.3022 134278.702400001, 585469.302 134883.2993, 585184.6 134818.897700001, 584225.6994 135744.9027, 581936.9034 135533.203299999, 581794.1979 137541.7983, 581416.401 137862.5965, 582696.2983 138634.695499999, 582268.998 140161.1985, 583401.4984 140249.803200001, 583820.298 141029.200099999, 584540.1001 140812.302200001, 584925.1032 141229.502699999, 584733.7024 141315.098200001, 585453.6034 141797.200200001, 585259.4981 142600.600299999, 585934.1008 143232.499399999, 585986.2013 143869.9969, 586524.9007 144369.503900001, 586366.4965 144719.9036, 587213.2973 144852.4957, 587303.3993 145628.203600001, 587762.3029 145588.7049, 587627.9002 146967.700200001, 588866.498 147704.7992, 588686.3022 147989.197799999, 589412.0984 147978.6008, 589861.8995000001 149282.6975, 591865.202 149150.4954, 591780.5993999999 149741.396199999, 593593.103 151194.100400001, 594321.1006 152587.501499999, 595260.5017 152346.2006, 594968.1978 151679.601399999, 595250.6983 151416.896600001, 595862.3003999999 151564.6043, 597156.9976 151023.599199999, 598470.4029 152494.2982, 599226.6976 151873.296, 599761.2002 151846.9035, 599979.1007 152749.994999999, 601134.0029 152812.2972, 601934.2025 153802.4038, 602743.4965 153578.4979, 602848.4974 154122.5021, 603835.9011 154263.7017, 604086.6994 155196.9046, 605125.5029 154561.0966, 605878.5985 154894.5012, 606227.2987 156491.1041, 607507.3032 156358.902000001))",http://data.parliament.uk/resources/1223073,2019 General Election,89553.0,24029.0,Con Hold,60059.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
7,Ashton-under-Lyne,8,E14000537,392394,399819,-2.1161,53.495,27774098.2486267,32423.7190495887,"POLYGON ((395126.501 398226.4981, 395064.9022 398443.296, 394227.0968 398349.7028, 393916.2003 398748.798599999, 392898.801 397365.804500001, 393115.7038 396853.101199999, 392493.5974 396736.204700001, 392623.3005 397054.503599999, 392208.7965 397313.399499999, 392487.0014 397539.004899999, 391575.0976 397497.8967, 392320.5996 398186.499600001, 392408.5991 398940.503699999, 391985.2977 398464.0001, 391591.2992 398790.296700001, 391370.6036 398641.2994, 390501.2032 397860.103, 390556.4038 397473.4037, 390121.6005 397314.7991, 389373.6993 397579.303400001, 388943.7029 398162.996300001, 388863.8 399063.0986, 389359.6992 400191.095699999, 388244.2991 401030.895400001, 388596.1983 401748.9998, 389455.6964 401824.7981, 389737.2982 402135.2992, 390388.5014 402717.502599999, 391249.3023 401365.7995, 392210.7011 401004.103, 393245.8026 401446.0965, 393989.3999 402662.598300001, 395995.5964 402849.104900001, 395957.999 401868.4956, 396380.8964 401900.1965, 396369.7985 401031.895099999, 395527.6975 400012.596799999, 395126.501 398226.4981))",http://data.parliament.uk/resources/1223074,2019 General Election,67978.0,4263.0,Lab Hold,38579.0,#E4003B,"(0.8941176470588236, 0.0, 0.23137254901960785, 1.0)"
8,Aylesbury,9,E14000538,482160,199541,-0.8128,51.6886,185784428.921951,131752.077454811,"POLYGON ((486975.0965 215877.505000001, 488032.4019 214048.0986, 488382.1987 213831.000800001, 489057.4032 214332.597200001, 490745.497 212098.3967, 490977.7027 211479.403899999, 490430.4038 211219.7982, 491038.4028 210754.601399999, 491631.8988 208586.301999999, 490318.9965 207477.1995, 490574.0987 206914.500600001, 490198.297 206435.9976, 488899.8978 206640.9989, 488170.8035 206372.695699999, 488555.8974 205925.8036, 488456.5032 205376.400900001, 489109.6027 203740.4991, 487927.4011 202969.799799999, 487550.7007 203172.7017, 486707.297 201351.302999999, 486461.6024 201222.300000001, 486165.7036 201711.0001, 485639.9985 201124.8979, 486666.8962 199200.898600001, 487395.8997 199120.601600001, 487838.6018 198183.0999, 488642.7014 198038.001499999, 489622.0992 197005.7969, 489536.6969 196755.1987, 488200.0982 196260.2004, 488148.4017 195418.001399999, 486924.7027 194816.4036, 486058.6992 194895.900900001, 485551.6032 196063.196699999, 484913.7983 196052.5998, 484156.8027 196829.397399999, 483473.7984 196920.8013, 483232.2016 196223.7008, 482735.0986 196134.496300001, 482409.4022 195662.601399999, 481887.2013 195974.102299999, 481489.7976 195552.502900001, 480928.0038 195906.7015, 480604.4017 195195.395199999, 479717.802 195241.1021, 479536.7982 194671.0952, 479975.8971 194119.303200001, 479545.8018 193326.600099999, 478226.6002 193111.3017, 477375.6028 193663.503699999, 476700.2003 193533.900800001, 476260.2026 194356.5953, 475272.9967 193759.0963, 474943.4004 194243.4976, 474876.096 193406.2973, 475122.6975 193196.497300001, 474844.303 192182.297599999, 473773.6983 193519.4049, 473616.0033 194183.604800001, 472688.9039 195181.599099999, 473087.701 195081.5977, 472988.9994 195524.401000001, 473900.4991 195406.104800001, 474154.0018 195759.9036, 474311.804 195283.300000001, 474592.2021 195893.7952, 474042.7017 196909.0046, 474452.2999 196840.904100001, 474935.9964 197623.700099999, 475456.1031 197793.9013, 476532.2979 197186.395199999, 477710.4017 197218.8959, 477256.7007 197811.496300001, 476300.7024 198089.096799999, 477062.0019 198655.704700001, 477537.7007 198604.499299999, 476489.4978 199885.3027, 477035.9969 201290.9003, 476935.803 202764.398499999, 476273.1969 203255.498, 475783.902 204265.698799999, 476683.9988 205213.897399999, 477796.6038 204523.605, 478687.4992 203162.604599999, 478988.8974 203149.8982, 479390.201 202479.5001, 479907.3972 202422.296499999, 480409.6039 201746.9998, 481592.902 202331.3025, 481411.9972 202966.000800001, 482208.9977 203422.100299999, 482271.2974 203785.8961, 483894.5026 203027.6032, 484314.3988 203720.7048, 484715.6035 203398.797, 485199.0032 203599.7994, 485564.9025 204041.403000001, 485353.4002 204554.396199999, 486451.8979 204669.703199999, 485355.6016 206455.502, 485597.0995 207357.3038, 485000.0993 208894.9037, 484670.099 209331.998600001, 484120.104 209158.7982, 484313.5001 208851.2962, 483912.4026 208595.3994, 482975.5988 209872.004000001, 482467.398 209713.7993, 481517.8967 210590.0985, 481717.3035 210931.2008, 480702.3035 212699.4047, 480497.9002 212907.895, 480153.1989 212675.4016, 480102.0961 213323.1961, 479262.6994 213816.305, 479381.5024 214217.9, 478617.8037 214741.700099999, 478427.7962 214596.8016, 478480.6965 215622.498, 477932.4 216434.4955, 478159.403 216817.2959, 477196.8004 218072.9965, 477247.7961 218394.304500001, 477898.2984 218313.797599999, 478084.6038 218744.404300001, 478412.7985 218643.7031, 478856.2014 218373.600500001, 479380.8016 217259.6993, 479977.8018 217644.099300001, 480147.0976 218190.003, 480400.6992 218097.0996, 480741.5005 217326.100299999, 480786.197 215668.504799999, 481554.0018 215238.097999999, 481784.8965 215407.399499999, 481598.2036 216207.500499999, 482489.2968 216731.3006, 482713.9005 216533.8971, 482307.6004 216243.3003, 483107.998 214837.3027, 483594.8029 214520.5034, 483351.7962 214365.3978, 484378.0012 213658.3002, 485693.3028 213880.9965, 486862.403 214913.800799999, 486651.4037 215286.304199999, 486975.0965 215877.505000001))",http://data.parliament.uk/resources/1223075,2019 General Election,86665.0,17373.0,Con Hold,60576.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
9,Banbury,10,E14000539,441108,233685,-1.4026,52.0001,463193017.682541,171411.749851523,"POLYGON ((460619.8989 235588.002900001, 461037.4041 235722.804300001, 461668.2007 235229.695499999, 462141.797 235555.902100001, 462693.8038 234540.8026, 463438.2009 234888.5031, 463663.2004 234613.102, 464557.7978 234879.195800001, 465097 234201.199899999, 463406.4987 231799.497300001, 462272.9017 229157.3037, 463237.3018 228392.502599999, 463406.9027 227606.897500001, 464751.499 228284.203600001, 465072.9987 228139.095100001, 464576.2008 226706.395199999, 463519.8023 226304.3003, 463660.7022 226116.404100001, 462905.0011 225295.698999999, 463415.7991 224698.799900001, 462956.3019 223369.000499999, 463103.6988 222728.503900001, 462473.9988 222096.8047, 464172.3989 221375.801100001, 463593.2988 220196.898499999, 464177.1975 219972.3028, 464497.0976 219314.801000001, 464424.0959 217547.397, 464715.699 216584.502599999, 465745.301 216118.096100001, 464737.4 215278.5964, 464066.7962 215443.3992, 463632.8998 214914.2007, 461835.0972 216163.203199999, 460635.5975 216668.7985, 460365.2007 216302.4033, 459411.7006 217662.604, 459720.7997 218942.4976, 457945.704 220373.8979, 457134.0025 219437.695900001, 456536.1036 216993.395500001, 455459.6037 217911.8027, 455044.3989 218747.9033, 455170.804 220440.398800001, 454554.7 221017.4037, 452088.2972 220702.4038, 452545.2962 222273.5041, 450808.103 222912.201300001, 449352.8003 223207.4968, 448158.2971 222556.903000001, 447987.6985 223055.600299999, 448319.3973 224078.297499999, 447802.0032 224428.497300001, 447767.1019 224836.7004, 446535.0012 225101.4046, 446495.697 225570.9003, 446129.8966 225636.601399999, 446148.8025 226319.396, 445475.0986 226470.402799999, 445982.4007 227281.3007, 445103.403 227163.4044, 445020.4989 227599.6995, 443955.8966 227955.5976, 443968.0003 230198.295700001, 443725.1008 230076.8005, 442869.4037 231419.496099999, 441177.3028 231435.2016, 440649.0994 230634.2009, 440445.9988 231285.104599999, 439477.402 231761.8981, 439620.0993 232180.6982, 438730.8035 232452.600400001, 437591.5999 231384.796, 434876.0973 230834.4036, 434305.5968 231853.002, 433180.5004 232487.8003, 432857.3023 233261.5988, 434558.4975 240181.498, 434240.1969 241588.7952, 435002.8981 242206.7983, 434745.3966 242767.697699999, 435341.2012 243388.0002, 435185.7982 244079.202299999, 435710.7036 244029.5965, 435912.8972 244908.504899999, 436570.2017 244433.900800001, 437965.2001 244507.5997, 437522.8031 246215.400800001, 437843.2969 246558.002800001, 439469.5033 246816.4988, 440919.4962 245917.496099999, 442201.0013 244154.7007, 442947.5998 244781.801200001, 444086.8034 244967.9979, 443569.3022 246074.801100001, 443213.0001 246229.196900001, 443175.7984 246764.603599999, 441816.7979 246670.1007, 441636.6021 246910.401900001, 442164.5004 247964.9, 443479.2991 248829.602499999, 444673.8023 248735.2995, 444583.2963 249453.0041, 445188.7971 249821.5986, 445014.9005 250752.0022, 445655.6984 251408.1044, 445790.299 252455.4046, 447556.3993 249921.200099999, 447421.5019 249692.4955, 449613.4019 246773.700999999, 451265.102 245321.896600001, 451604.5017 244578.599400001, 449946.0984 244640.2017, 448935.0972 244048.700999999, 447507.9019 243994.196599999, 446608.9017 243401.296399999, 446822.2014 242613.8018, 448110.3026 242646.102499999, 448239.4037 242419.897299999, 447603.8002 241552.4956, 448061.096 241379.1952, 447933.5037 240966.703299999, 447550.801 240888.895500001, 447584.5975 240137.000800001, 447211.2034 239450.7972, 448274.9976 238489.702299999, 448675.3036 237298.0034, 448512.3977 236858.4992, 449131.2967 236691.1971, 449635.4987 235338.6043, 449606.5998 235015.196900001, 449200.2007 234936.7993, 449720.7032 234347.9978, 449294.4005 233700.203299999, 449370.7992 232960.2951, 448928.1961 232601.197899999, 449314.403 231472.800899999, 449485.1995 231787.8007, 450856.8973 231641.602499999, 452176.4039 232252.197799999, 453000.2009 231712.902100001, 455301.7026 231300.000299999, 455674.7009 231757.8992, 456683.6985 231828.698999999, 457509.2022 233102.5044, 458003.1968 232977.200200001, 459529.201 233558.2039, 459730.298 234404.7016, 460619.8989 235588.002900001))",http://data.parliament.uk/resources/1223076,2019 General Election,90116.0,16813.0,Con Hold,62921.0,#0087DC,"(0.0, 0.5294117647058824, 0.8627450980392157, 1.0)"
