uri,constituency > label,election > label,electorate,majority,result of election,turnout
http://data.parliament.uk/resources/1223065,Aldershot,2019 General Election,72617,16698,Con Hold,47932
http://data.parliament.uk/resources/1223066,Aldridge-Brownhills,2019 General Election,60138,19836,Con Hold,39342
http://data.parliament.uk/resources/1223067,Altrincham and Sale West,2019 General Election,73107,6139,Con Hold,54763
http://data.parliament.uk/resources/1223068,Alyn and Deeside,2019 General Election,62789,213,Lab Hold,43008
http://data.parliament.uk/resources/1223069,Amber Valley,2019 General Election,69976,16886,Con Hold,45567
http://data.parliament.uk/resources/1223070,Arfon,2019 General Election,42215,2781,PC Hold,29074
http://data.parliament.uk/resources/1223071,Arundel and South Downs,2019 General Election,81726,22521,Con Hold,61408
http://data.parliament.uk/resources/1223072,Ashfield,2019 General Election,78204,5733,Con Gain,48980
http://data.parliament.uk/resources/1223073,Ashford,2019 General Election,89553,24029,Con Hold,60059
http://data.parliament.uk/resources/1223074,Ashton-under-Lyne,2019 General Election,67978,4263,Lab Hold,38579
http://data.parliament.uk/resources/1223075,Aylesbury,2019 General Election,86665,17373,Con Hold,60576
http://data.parliament.uk/resources/1223076,Banbury,2019 General Election,90116,16813,Con Hold,62921
http://data.parliament.uk/resources/1223077,Barking,2019 General Election,77953,15427,Lab Hold,44499
http://data.parliament.uk/resources/1223078,Barnsley Central,2019 General Election,65277,3571,Lab Hold,36903
http://data.parliament.uk/resources/1223079,Barnsley East,2019 General Election,69504,3217,Lab Hold,38070
http://data.parliament.uk/resources/1223080,Barrow and Furness,2019 General Election,70158,5789,Con Gain,46046
http://data.parliament.uk/resources/1223081,Basildon and Billericay,2019 General Election,69906,20412,Con Hold,44128
http://data.parliament.uk/resources/1223082,Basingstoke,2019 General Election,82928,14198,Con Hold,54713
http://data.parliament.uk/resources/1223083,Bassetlaw,2019 General Election,80024,14013,Con Gain,50841
http://data.parliament.uk/resources/1223084,Bath,2019 General Election,67805,12322,LD Hold,52138
http://data.parliament.uk/resources/1223085,Batley and Spen,2019 General Election,79558,3525,Lab Hold,52927
http://data.parliament.uk/resources/1223086,Battersea,2019 General Election,79350,5668,Lab Hold,59977
http://data.parliament.uk/resources/1223087,Beaconsfield,2019 General Election,77720,15712,Con Hold,57868
http://data.parliament.uk/resources/1223088,Beckenham,2019 General Election,68662,14258,Con Hold,50555
http://data.parliament.uk/resources/1223089,Bedford,2019 General Election,71581,145,Lab Hold,47301
http://data.parliament.uk/resources/1223090,Belfast East,2019 General Election,66245,1819,DUP Hold,42445
http://data.parliament.uk/resources/1223091,Belfast North,2019 General Election,72225,1943,SF Gain,49037
http://data.parliament.uk/resources/1223092,Belfast South,2019 General Election,69984,15401,SDLP Gain,47352
http://data.parliament.uk/resources/1223093,Belfast West,2019 General Election,65644,14672,SF Hold,38782
http://data.parliament.uk/resources/1223094,Bermondsey and Old Southwark,2019 General Election,93248,16126,Lab Hold,58615
http://data.parliament.uk/resources/1223095,Berwick-upon-Tweed,2019 General Election,59939,14835,Con Hold,42109
http://data.parliament.uk/resources/1223096,Bethnal Green and Bow,2019 General Election,88262,37524,Lab Hold,60562
http://data.parliament.uk/resources/1223097,Beverley and Holderness,2019 General Election,79696,20448,Con Hold,53542
http://data.parliament.uk/resources/1223098,Bexhill and Battle,2019 General Election,81963,26059,Con Hold,59093
http://data.parliament.uk/resources/1223099,Bexleyheath and Crayford,2019 General Election,65466,13103,Con Hold,43246
http://data.parliament.uk/resources/1223100,Birkenhead,2019 General Election,63762,17705,Lab Hold,42329
http://data.parliament.uk/resources/1223101,"Birmingham, Edgbaston",2019 General Election,68828,5614,Lab Hold,42328
http://data.parliament.uk/resources/1223102,"Birmingham, Erdington",2019 General Election,66148,3601,Lab Hold,35229
http://data.parliament.uk/resources/1223103,"Birmingham, Hall Green",2019 General Election,80283,28508,Lab Hold,52911
http://data.parliament.uk/resources/1223104,"Birmingham, Hodge Hill",2019 General Election,78295,28655,Lab Hold,45003
